Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
16544,Vandermolen,1735,95.73%,(S),0.98%,(S),0.86%,1.79%
16575,Varona,1731,7.16%,2.25%,4.79%,0.00%,1.04%,84.75%
16582,Votaw,1730,92.89%,(S),(S),0.75%,1.56%,4.10%
16586,Varma,1729,5.78%,0.93%,88.14%,0.58%,3.59%,0.98%
16586,Vince,1729,88.09%,5.32%,1.04%,0.40%,1.16%,3.99%
16616,VanNorman,1726,85.57%,7.65%,0.93%,1.45%,2.67%,1.74%
16630,VanRiper,1724,94.95%,0.93%,0.58%,0.70%,1.22%,1.62%
16652,Vicari,1720,94.53%,(S),0.76%,(S),0.93%,3.37%
16662,Vawter,1719,95.29%,0.47%,0.93%,0.41%,1.05%,1.86%
16720,Vose,1711,92.93%,0.58%,2.05%,0.47%,1.17%,2.81%
16728,Vandermeer,1710,93.86%,0.29%,0.99%,0.41%,1.35%,3.10%
16743,Vancil,1708,94.15%,(S),0.76%,(S),0.64%,4.04%
16781,Vanauken,1702,95.01%,(S),0.82%,(S),1.29%,2.41%
16848,Vaidya,1694,3.01%,(S),94.10%,0.71%,1.71%,(S)
16881,Vidrio,1688,2.61%,(S),0.53%,(S),0.00%,96.50%
16939,VanVleet,1679,93.92%,(S),0.48%,(S),2.32%,2.74%
16958,Villamil,1676,7.46%,0.78%,11.16%,0.00%,1.01%,79.59%
16975,VanVliet,1674,94.03%,0.66%,0.72%,0.36%,1.61%,2.63%
16984,Villalvazo,1673,2.81%,0.00%,(S),0.30%,(S),96.77%
17014,VanBrunt,1670,90.60%,0.96%,0.96%,1.80%,3.29%,2.40%
17080,Vanhoy,1662,96.93%,(S),1.08%,(S),0.84%,0.90%
17193,VanCleve,1647,95.14%,0.79%,0.61%,0.97%,1.15%,1.34%
17202,Voll,1646,94.84%,(S),1.15%,(S),2.19%,1.64%
17258,Villeneuve,1641,93.11%,0.30%,1.22%,0.55%,2.74%,2.07%
17268,Viana,1640,46.89%,2.32%,3.90%,0.00%,1.10%,45.79%
17283,Villines,1638,77.35%,11.97%,0.85%,1.34%,2.26%,6.23%
17290,VanAlstine,1637,93.16%,0.67%,0.67%,1.10%,1.34%,3.05%
17290,Vanderploeg,1637,96.88%,(S),0.43%,(S),1.59%,0.67%
17367,Vester,1626,74.48%,20.79%,(S),(S),1.85%,2.15%
17367,Victoriano,1626,6.33%,0.74%,13.65%,0.74%,1.23%,77.31%
17406,VanNostrand,1621,94.88%,0.62%,0.86%,0.37%,1.42%,1.85%
17463,Vielma,1614,4.21%,(S),0.31%,0.37%,(S),94.61%
17481,Vandermark,1612,95.53%,0.93%,(S),(S),1.67%,1.61%
17481,Vandyk,1612,94.98%,0.68%,1.05%,0.37%,1.67%,1.24%
17495,Venditti,1611,96.28%,(S),(S),0.00%,1.24%,2.23%
17502,Vanderhoff,1610,96.40%,(S),0.75%,(S),1.18%,1.12%
17502,Vessels,1610,83.11%,12.48%,0.43%,0.43%,1.12%,2.42%
17530,Vialpando,1606,17.68%,(S),(S),0.37%,0.62%,80.76%
17530,Voorhies,1606,85.37%,7.91%,0.44%,0.44%,1.74%,4.11%
